# Time (s),Ang (°),Vel (°/s)
5.600,91.269,-9.613
5.640,91.299,-2.822
5.680,91.734,3.684
5.720,92.395,10.766
5.760,93.048,17.217
5.800,93.963,24.121
5.840,95.282,29.615
5.880,96.381,35.355
5.920,97.978,40.064
5.960,99.801,45.156
6.000,102.072,48.758
6.040,104.219,52.636
6.080,107.092,55.444
6.120,109.747,58.392
6.160,112.578,59.451
6.200,115.307,61.656
6.240,118.392,61.865
6.280,120.989,62.398
6.320,123.977,60.479
6.360,126.314,59.497
6.400,128.999,55.550
6.440,130.953,52.403
6.480,133.374,47.443
6.520,135.097,43.045
6.560,137.240,35.682
6.600,138.359,30.338
6.640,139.917,22.191
6.680,140.423,16.117
6.720,141.189,7.851
6.760,141.044,1.957
6.800,141.134,-6.062
6.840,139.801,-11.900
6.880,139.192,-19.892
6.920,137.291,-24.960
6.960,135.985,-32.273
7.000,133.709,-36.631
7.040,132.127,-42.735
7.080,129.737,-46.225
7.120,127.957,-51.060
7.160,125.304,-52.387
7.200,123.383,-55.994
7.240,120.554,-56.524
7.280,118.444,-58.680
7.320,115.548,-57.955
7.360,113.309,-58.892
7.400,110.498,-57.362
7.440,108.369,-57.017
7.480,105.596,-53.555
7.520,103.377,-52.108
7.560,100.777,-47.418
7.600,98.936,-44.759
7.640,96.792,-39.350
7.680,95.320,-35.301
7.720,93.747,-29.683
7.760,93.171,-25.267
7.800,92.119,-18.963
7.840,92.103,-13.745
7.880,91.589,-7.303
7.920,91.938,-1.659
7.960,92.128,5.089
8.000,92.688,11.147
8.040,93.209,17.546
8.080,94.218,23.216
8.120,95.130,29.527
8.160,96.395,34.428
8.200,97.941,39.919
8.240,99.846,44.215
8.280,102.008,48.848
8.320,104.274,52.493
8.360,107.101,56.073
8.400,109.835,58.258
8.440,112.759,60.625
8.480,115.540,61.876
8.520,118.468,62.860
8.560,121.437,62.105
8.600,124.184,61.221
8.640,126.853,58.718
8.680,129.173,55.379
8.720,131.505,50.417
8.760,133.520,45.548
8.800,135.656,38.848
8.840,137.109,32.866
8.880,138.740,24.842
8.920,139.505,17.958
8.960,140.328,10.396
9.000,140.085,3.667
9.040,140.088,-3.575
9.080,138.849,-10.364
9.120,138.187,-17.703
9.160,136.342,-24.134
9.200,134.959,-30.830
9.240,133.090,-36.145
9.280,131.373,-41.575
9.320,129.361,-45.358
9.360,127.302,-49.553
9.400,125.034,-51.869
9.440,122.628,-54.771
9.480,120.242,-55.827
9.520,117.817,-57.026
9.560,115.383,-57.362
9.600,112.870,-57.199
9.640,110.357,-56.983
9.680,107.727,-54.937
9.720,105.324,-53.140
9.760,102.846,-49.805
9.800,100.744,-46.734
9.840,98.673,-42.385
9.880,97.053,-38.150
9.920,95.171,-32.926
9.960,94.340,-28.357
10.000,93.150,-22.321
10.040,92.746,-17.000
10.080,92.202,-10.705
10.120,92.386,-5.200
10.160,92.493,1.866
10.200,93.114,7.375
10.240,93.342,14.801
10.280,94.335,20.265
10.320,95.124,26.895
10.360,96.423,31.761
10.400,97.623,37.532
10.440,99.792,41.462
10.480,101.479,46.137
10.520,104.051,48.965
10.560,106.499,53.074
10.600,109.287,55.178
10.640,111.802,58.031
10.680,114.721,59.248
10.720,117.264,60.931
10.760,120.175,60.291
10.800,122.493,60.719
10.840,125.187,58.673
10.880,127.441,56.781
10.920,129.943,52.134
10.960,131.972,47.942
11.000,134.182,43.077
11.040,135.967,38.840
11.080,137.910,33.987
