# Ang (º),Vel (º/s),Time (s)
128.526,226.194,3.720
133.557,208.745,3.760
142.604,203.688,3.800
150.954,68.785,3.840
159.102,64.809,3.880
161.853,113.950,3.920
164.445,63.715,3.960
169.003,18.005,4.000
171.552,10.467,4.040
172.272,-10.349,4.080
172.691,-18.101,4.120
172.277,-8.660,4.160
171.553,-26.411,4.200
171.207,-8.049,4.240
170.150,-35.091,4.280
169.828,-152.602,4.320
168.424,-178.204,4.360
162.320,-232.822,4.400
155.192,-244.318,4.440
145.879,-212.704,4.480
136.107,-133.471,4.520
127.599,-188.416,4.560
122.260,-183.353,4.600
114.723,-93.094,4.640
107.389,-139.121,4.680
103.665,-93.607,4.720
98.100,-81.689,4.760
94.356,-140.656,4.800
91.088,-85.534,4.840
85.462,-84.328,4.880
82.041,-67.600,4.920
78.668,-106.901,4.960
75.964,-121.328,5.000
71.688,-104.931,5.040
66.835,-87.175,5.080
62.637,-88.445,5.120
59.150,-17.277,5.160
55.613,15.245,5.200
54.921,26.019,5.240
55.531,62.743,5.280
56.572,37.267,5.320
59.082,127.893,5.360
60.572,227.304,5.400
65.688,132.254,5.440
74.780,120.334,5.480
80.070,145.470,5.520
84.884,130.433,5.560
90.703,158.584,5.600
95.920,65.328,5.640
102.263,80.040,5.680
104.876,182.845,5.720
108.078,68.566,5.760
115.392,102.631,5.800
118.134,208.606,5.840
122.240,208.271,5.880
130.584,126.705,5.920
138.915,207.408,5.960
143.983,180.544,6.000
152.279,61.145,6.040
159.501,85.003,6.080
161.947,134.345,6.120
165.347,35.040,6.160
170.721,52.841,6.200
172.122,0.231,6.240
174.236,-1.137,6.280
174.245,-37.428,6.320
174.200,1.270,6.360
172.703,-9.063,6.400
172.753,-9.122,6.440
172.391,-107.619,6.480
172.026,-92.561,6.520
167.721,-125.701,6.560
164.019,-158.881,6.600
158.991,-150.036,6.640
152.635,-149.910,6.680
146.634,-300.394,6.720
140.638,-172.773,6.760
128.622,-175.283,6.800
121.711,-189.445,6.840
114.700,-141.285,6.880
107.122,-101.484,6.920
101.470,-85.551,6.960
97.411,-89.140,7.000
93.989,-125.415,7.040
90.423,-79.689,7.080
85.407,-110.539,7.120
82.219,-95.230,7.160
77.798,-87.144,7.200
73.989,-85.182,7.240
70.503,-51.293,7.280
67.095,-28.291,7.320
65.044,-60.967,7.360
63.912,-75.650,7.400
61.473,-25.975,7.440
58.447,38.931,7.480
57.408,49.198,7.520
58.966,46.057,7.560
60.934,88.969,7.600
62.776,187.474,7.640
66.335,90.818,7.680
73.834,125.507,7.720
77.466,108.280,7.760
82.487,90.999,7.800
86.818,163.135,7.840
90.458,61.352,7.880
96.983,87.475,7.920
99.437,126.180,7.960
102.936,110.974,8.000
107.983,89.171,8.040
112.422,181.119,8.080
115.989,191.721,8.120
123.234,192.754,8.160
130.903,137.917,8.200
138.613,220.289,8.240
144.130,173.469,8.280
152.941,95.074,8.320
159.880,80.169,8.360
163.683,73.784,8.400
166.890,116.665,8.440
169.841,28.162,8.480
174.508,-0.928,8.520
175.634,-38.214,8.560
175.597,-17.253,8.600
174.068,-18.190,8.640
173.378,9.125,8.680
172.651,-90.295,8.720
173.016,-72.732,8.760
169.404,-135.659,8.800
166.495,-161.204,8.840
161.068,-232.883,8.880
154.620,-184.411,8.920
145.305,-255.087,8.960
137.928,-166.286,9.000
127.725,-182.210,9.040
121.073,-196.886,9.080
113.785,-52.215,9.120
105.910,-118.188,9.160
103.821,-82.518,9.200
99.094,-128.083,9.240
95.793,-114.249,9.280
90.669,-138.402,9.320
86.100,-86.253,9.360
80.563,-64.858,9.400
77.113,-71.660,9.440
74.519,-82.820,9.480
71.653,-80.578,9.520
68.340,-91.725,9.560
65.117,-35.410,9.600
61.448,-27.915,9.640
60.031,15.130,9.680
58.915,39.803,9.720
59.520,68.181,9.760
61.112,-4.688,9.800
63.839,156.673,9.840
63.652,126.206,9.880
69.919,85.759,9.920
74.967,131.729,9.960
78.397,137.170,10.000
83.666,149.029,10.040
89.153,113.713,10.080
95.114,33.051,10.120
99.663,108.439,10.160
100.985,145.990,10.200
105.323,101.385,10.240
111.162,122.455,10.280
115.218,249.977,10.320
120.116,151.484,10.360
130.115,155.177,10.400
136.174,232.441,10.440
142.381,118.310,10.480
151.679,78.145,10.520
156.411,102.192,10.560
159.537,69.724,10.600
163.625,71.226,10.640
166.414,7.445,10.680
169.263,18.302,10.720
169.561,42.045,10.760
170.293,19.301,10.800
171.975,0.000,10.840
172.747,-10.323,10.880
172.747,-10.299,10.920
172.334,-11.554,10.960
171.922,-65.303,11.000
171.459,-109.010,11.040
168.847,-150.364,11.080
